CODCOM,COMUNA,Población,TIA1504,TMA_1604,%Obesidad,%Hacin,%Pob_mult,%Mej_Viv,kWh_hab_año,AV(m2/Hab),%banda_ancha,TotEdSup,IPS2019
13101,Santiago,503147,5860.7,93.80956261291432,20.148560817084494,23.749672167611156,9.628715,9.48,1090.97,4.64,74.4,38.93100528247106,56.06
13102,Cerrillos,88956,6234.5,184.36080759026936,27.012522361359572,16.25210568649174,27.421767000000003,9.54,710.41,14.58,55.6,12.170919400567032,65.23
13103,Cerro Navia,142465,8140.9,287.78998350472045,33.30308529945554,24.67786289530544,34.635698999999995,17.49,627.73,5.94,28.8,5.910150833184851,79.18
13104,Conchalí,139195,7445,298.86130967347964,28.556701030927837,20.412101778450758,29.371744,16.67,695.72,3.3,56.6,10.309503757450116,75.87
13105,El Bosque,172000,7583.1,223.25581395348837,29.929577464788732,19.430303679830974,22.650157,12.95,624.37,2.03,57.3,9.0705395753441,70.87
13106,Estación Central,206792,5791.8,120.89442531625981,23.06985294117647,23.3519880560924,23.454908999999997,13.14,756.08,3.79,69.3,16.944172380019587,64.54
13107,Huechuraba,112528,6042.1,191.06355751457414,19.134396355353076,14.193113898476303,28.84373,12.76,842.7,10.78,66.9,21.75171914585595,57.95
13108,Independencia,142065,7443.8,275.93003202759303,22.164948453608247,29.41475198331,20.910529,15.16,775.39,1.55,74.9,17.991901343640713,68.16
13109,La Cisterna,100434,6574.5,219.0493259254834,20.365853658536587,11.872935791745768,17.820372000000003,11.12,836.6,1.78,71.8,19.452495606727982,60.31
13110,La Florida,402433,6878.2,216.68203154313886,24.979822437449556,10.179909065163741,18.990417,7.5,800.22,3.76,80.7,21.36604200645741,56.83
13111,La Granja,122557,9376,263.5508375694575,33.59858532272325,20.53303708177837,21.910373999999997,18.6,671.36,7.29,44.4,8.462046204620462,68.57
13112,La Pintana,189335,9165.2,275.1736340349117,29.444138690148595,25.187081962870575,32.73877,17.34,567.02,3.47,28.2,4.305415988079975,80.72
13113,La Reina,100252,4748,139.64808682121054,22.10144927536232,5.267021037303627,6.936215,4.92,1137.47,13.99,79.8,42.04648322045174,32.67
13114,Las Condes,330759,4074.3,156.6094951308959,19.758064516129032,2.9891713730346243,4.23259,0.88,1308.94,4.87,91.8,54.79897489597399,11.56
13115,Lo Barnechea,124076,5337.1,103.16257777491215,31.5625,5.065407280478121,17.182713999999997,6.01,1340.76,15.21,77.9,38.02775119617225,29.63
13116,Lo Espejo,103865,7402.9,319.64569392962017,26.929392446633827,23.74220647109011,37.501351,14.85,625.04,4.36,41.1,5.868173884132657,79.46
13117,Lo Prado,104403,8613.7,233.70975929810447,31.233243967828418,21.821364641465728,24.484662,13.18,628.75,3.2,41,9.701849235769595,71.61
13118,Macul,134635,6920.2,192.37196865599583,30.81232492997199,11.546344796173992,13.472951,6.7,812.55,4.14,68.8,25.498546904863723,55.81
13119,Maipú,578605,5317.6,150.36164568228756,24.638346727898966,8.639383270346803,13.220459000000002,6.81,687.99,5.5,81.1,17.26859533101208,55.53
13120,Ñuñoa,250192,4724.4,182.6597173370851,20.87745839636914,4.801537832996365,5.7618160000000005,2.06,1030.73,2.44,83,48.14888904068151,37.67
13121,Pedro Aguirre Cerda,107803,7268.8,315.3901097372058,28.50412249705536,20.228725866793457,26.762879,12.17,706.55,5.25,65,10.02160966652125,67.69
13122,Peñalolén,266798,7610.3,176.16323960449478,36.6303436714166,14.945056033436833,26.276122,12.55,757.09,5.66,55.4,18.410980154113343,62.45
13123,Providencia,157749,4358.2,160.3813653335362,20,3.7860379074106008,3.3835480000000002,1.27,1573.31,14.94,98.2,60.674550966708615,27.13
13124,Pudahuel,253139,7580.4,155.6457124346703,32.320872274143305,14.722674083014116,22.505142,9.29,682.73,4.71,69.7,13.166906193999397,62.61
13125,Quilicura,254694,6011.1,111.89898466394968,23.427331887201735,13.007092751798261,17.923171,7.25,645.47,4.03,69.1,12.062816102595086,54.88
13126,Quinta Normal,136368,7938.8,201.6602135398334,22.22222222222222,17.485179685842834,23.482269,14.7,809.98,3.63,79.7,14.184403772318932,68.16
13127,Recoleta,190075,7170.9,248.84913849796132,25.169606512890095,26.814483561888405,22.503532,18.21,781.97,18.58,51.5,12.977287315779577,70.08
13128,Renca,160847,9920,227.54543137267092,28.974358974358974,20.056624851828794,24.522084,13.88,619.4,4.58,51,6.949599155675775,68
13129,San Joaquín,103485,8506.5,258.0084070155095,25.727069351230426,18.975820174917885,21.101154,11.18,725.69,4.9,50.3,13.943880185918403,74.52
13130,San Miguel,133059,7778.5,218.69997519897188,20.905172413793103,10.032418042465489,17.245068999999997,5.72,944.62,1.97,97.7,32.89357876307197,49.67
13131,San Ramón,86510,8722.7,314.41451855276847,21.680876979293544,25.14000949216896,27.939963000000002,19.23,666.44,4.63,45.5,7.24425472775103,78.32
13132,Vitacura,96774,3788.2,106.43354620042574,14.606741573033707,1.2149953702545109,3.482807,0.79,1528.8,18.67,95,53.970103816103986,6.57
13201,Puente Alto,645909,7244.4,173.08939804213907,28.11844863731656,12.14471503355925,23.313428,9.34,645.18,4.41,69.3,13.729217775411689,63.47
13401,San Bernardo,334836,6622.9,170.23259147761888,26.081200353045013,17.558578338178236,26.069268,12.73,623.12,4.07,55.6,10.63551484639255,72.17
